Country Name,Series Name,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Algeria,Exports of goods and services (current US$),48982402223.6056,62203842893.358,78573489718.6418,78098361757.7117,70746581763.019,65994736570.1917,38489004322.7411,33417246978.2851,38609773040.5942,45570702426.4208,39481135535.1468,25613416650.3651,44484853151.5336,70931608671.3632,60376754380.0015
Algeria,"Inflation, consumer prices (annual %)",5.73706036145628,3.91106195534028,4.5242115050527,8.89145091062317,3.25423910998847,2.91692692067458,4.78444700693889,6.39769480268757,5.59111590961664,4.26999020467084,1.95176821052892,2.41513094083414,7.22606307415477,9.26551551551553,9.32217375928322
Algeria,"Labor force, total",10551825,10832192,11067848,11293832,11793700,11279335,11709257,11918706,12069182,12225526,12402025,11881326,12202063,13023244,13425064
Algeria,"Population, total",35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,45606480
Algeria,"Industry (including construction), value added (annual % growth)",-5.42910403008356,3.51438600659351,0.31620245671094,-2.2182107442613,-2.98510004231387,2.83875156023218,0.626181328257559,8.31468221447631,3.43429277725278,-0.620756216177455,-0.939947675064019,-7.38757569323549,9.51071348783523,2.80232069073796,3.7399122283247
American Samoa,GDP (current US$),675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..
American Samoa,GNI (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,Imports of goods and services (current US$),559000000,541000000,563000000,646000000,651000000,695000000,665000000,639000000,626000000,662000000,614000000,686000000,694000000,677000000,..
American Samoa,Exports of goods and services (current US$),530000000,364000000,335000000,483000000,458000000,429000000,428000000,429000000,362000000,436000000,399000000,427000000,332000000,409000000,..
American Samoa,"Inflation, consumer prices (annual %)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,"Labor force, total",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,"Population, total",55366,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273,43914
American Samoa,"Industry (including construction), value added (annual % growth)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,GDP (current US$),3688976340.7549,3449925738.86069,3629133574.27783,3188652765.36184,3193512950.02419,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324683011.5903,3380602042.84283,3727673593.01922
Andorra,GNI (current US$),..,..,..,..,..,..,..,..,..,..,3462355542.77557,3268588339.05242,3576594870.23086,3715911789.38931,..
Andorra,Imports of goods and services (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,Exports of goods and services (current US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,"Inflation, consumer prices (annual %)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,"Labor force, total",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,"Population, total",73852,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824,80088
Andorra,"Industry (including construction), value added (annual % growth)",-9.39139680558445,-12.8647959183673,-9.27481921714435,-11.6589757655942,-7.49926943308007,-1.98633653200648,-0.278001611603543,5.36543978021091,2.86437363395835,8.24573175277716,7.75535505200082,-3.89581335890061,5.74972564929665,-1.22641509433963,3.88411333970073
Angola,GDP (current US$),70307196181.6539,83799474069.7315,111789747670.59,128052915766.343,132339109040.232,135966802586.713,90496420506.5957,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84722957642.3757
Angola,GNI (current US$),63484054938.5189,75712612170.385,102092420980.521,117631162050.135,122755567484.069,127708790750.385,85895384571.8913,50010057162.8966,69161228469.5293,73313113234.9782,64488157748.8541,44145038180.9309,61051288255.5472,96358693004.0163,77036116985.7039
Angola,Imports of goods and services (current US$),44777840385.4964,35682251333.2141,43947410303.4287,45919732961.7043,47727897153.9588,47096036033.19,29985009888.782,13320025154.0847,17134965573.2132,20293075111.1607,12080150067.4291,13399763093.2307,17769653732.5989,26412539216.4033,22588391009.1429
Angola,Exports of goods and services (current US$),41310610391.3885,51572807437.8831,67822781239.1048,71632968360.9542,67158241199.6324,60770402473.2912,26926846081.4949,14838933358.413,21373167719.7176,32444713329.5102,28919814315.7895,18583150427.353,31753057852.3914,46353087833.3139,33781308111.3496
Angola,"Inflation, consumer prices (annual %)",13.7302839288408,14.4696564932577,13.4824679218511,10.2779049218839,8.77781429332624,7.28038730361121,9.35597215533784,30.6944150806719,29.8444799015679,19.6289379701521,17.080954143438,22.271539247051,25.7542948841891,21.3552901320822,13.6441017767715
Angola,"Labor force, total",9435748,9793696,10175962,10527326,10886364,11251540,11623549,12011479,12415650,12825924,13246117,13728470,14445598,14746279,15222540
Angola,"Population, total",22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987,36684202
Angola,"Industry (including construction), value added (annual % growth)",-3.899999989337,-0.0920533055329997,-2.15553510475898,10.5139875295922,2.96821218361154,-1.56750375119191,8.28481557463465,-0.630334158430017,-3.1873396301667,-6.21294835541003,-3.47800034023365,-10.4615558636219,-8.33801683121339,1.76712331401487,-7.18413792234625
Antigua and Barbuda,GDP (current US$),1386444444.44444,1298255555.55556,1281337037.03704,1327107407.40741,1325425925.92593,1378829629.62963,1437755555.55556,1489692592.59259,1531151851.85185,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,2033085185.18518
Antigua and Barbuda,GNI (current US$),1318414814.81481,1230670370.37037,1211055555.55556,1240344444.44444,1255111111.11111,1318096296.2963,1353218518.51852,1392288888.88889,1455000000,1584474074.07407,1653655555.55556,1404996296.2963,1546348148.14815,1777470370.37037,1940100000
Antigua and Barbuda,Imports of goods and services (current US$),..,..,..,..,..,924222222.222222,853392592.592592,923581481.481481,970770370.37037,1132907407.40741,1180425925.92593,739748148.148148,866970370.37037,1175559259.25926,..
Antigua and Barbuda,Exports of goods and services (current US$),..,..,..,..,..,1027285185.18519,1016366666.66667,1043081481.48148,988692592.592592,1037966666.66667,1194092592.59259,591277777.777778,752377777.777778,1021455555.55556,..
Antigua and Barbuda,"Inflation, consumer prices (annual %)",-0.550159995508914,3.37002540220148,3.4567496723461,3.37688044338874,1.05949782356169,1.08944157435355,0.968993458825638,-0.489437796230499,2.43248789041363,1.20715793367008,1.43135598182984,0.625989707046719,2.06299638545334,7.53107834634288,5.06713865364213
Antigua and Barbuda,"Labor force, total",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,"Population, total",84534,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763,94298
Antigua and Barbuda,"Industry (including construction), value added (annual % growth)",-6.48435231957266,-24.8190137959295,-13.1309460887949,2.05726888998743,5.67106341754229,4.97708039492241,2.01702970962161,14.4277624127486,10.0031651032975,21.1702698107532,2.2472152663846,-19.723424469545,11.0196460037346,3.16253286902139,3.89455313676864
Argentina,GDP (current US$),332976484577.619,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,487902572164.348,631133384439.944,640591410663.883
Argentina,GNI (current US$),322744327792.305,409192468872.686,515004538945.145,533073608485.977,540185748561.537,515532241212.846,583615452086.538,545251641127.714,627200463933.824,506094045059.703,430166792070.565,375344057341.93,478061739465.094,619144891408.819,626338098711.41
Argentina,Imports of goods and services (current US$),48268743529.5373,67937933972.3653,88838309449.3132,78013690406.706,81240190816.9153,73691675720.0984,70064879911.7042,75639254067.6608,89910495566.9384,85681309473.2328,65845624691.108,52454091268.1886,72860619870.7238,96884984785.9956,90018415643.8866
Argentina,Exports of goods and services (current US$),65133480388.4946,80208867995.7171,97809980730.5834,88655850853.7721,80690471898.442,75818867911.0825,63671789068.8987,69842604407.3878,72860557902.7631,75766598613.0197,80259482469.139,64053810078.3073,87805815481.4708,102871975261.165,82760724361.7036
Argentina,"Inflation, consumer prices (annual %)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,"Labor force, total",18324357,18255867,18663922,18835226,18964106,19049721,19229476,19404277,19580710,20103008,20607477,19406591,21191985,21511126,21906419
Argentina,"Population, total",40684338,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830,46654581
Argentina,"Industry (including construction), value added (annual % growth)",-6.43334090641412,8.80489749044955,5.83091783894156,-2.20112663055619,0.551194177258154,-3.46203501608358,1.38980831410751,-5.82515874143607,2.3028329031401,-3.04931518944642,-4.7407553055391,-9.28398483969283,15.4590696871446,5.71114135958608,-0.346169102961539
Armenia,GDP (current US$),8647937081.2562,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513474648.2429,24212134631.064
Armenia,GNI (current US$),9006718596.46194,9718566996.01031,10502185416.5704,11042356845.1045,11804011412.1342,12131729269.7992,10981745035.9775,10791195836.7939,11933013892.6253,12658281183.7745,13798994781.7745,12445454608.216,13472550881.1561,18664848319.5997,23567103132.8414
Armenia,Imports of goods and services (current US$),3684309605.1493,4157364605.55245,4757906586.64803,5139736819.01236,5471934333.89364,5481836306.66345,4427830382.31678,4464568367.68073,5646879065.80608,6612701455.26012,7458380122.32194,5021765669.07554,6073889076.36421,9950475818.85372,14251626834.4884
Armenia,Exports of goods and services (current US$),1268730265.77942,1828759690.54548,2284326940.19769,2926877147.39263,3153322766.33811,3315721291.63587,3137020863.27486,3558717725.79882,4405338883.1041,4907543376.02549,5631685777.79462,3762799929.1522,4983421998.13407,9759400463.65368,14086972329.8002
Armenia,"Inflation, consumer prices (annual %)",3.40676682683801,8.17636138473952,7.65000807859294,2.55802007757907,5.78966778544651,2.98130868933672,3.73169119261693,-1.403607559009,0.969553268816138,2.52023382001638,1.44344660770698,1.21143577838465,7.18483629443371,8.64091108973855,1.98041877615554
Armenia,"Labor force, total",1455126,1456440,1452857,1446050,1440477,1433759,1426565,1418849,1408448,1397414,1413724,1388336,1393091,1367781,1355546
Armenia,"Population, total",2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469,2777970
Armenia,"Industry (including construction), value added (annual % growth)",-28.5527701308983,7.41934098514518,1.76821657845305,4.99154620058444,0.546236961267894,-2.29153044720563,2.81326410225392,-0.296887560199451,9.02497121169704,3.70807851024517,10.5101883018243,-2.51360992792249,2.61374115165761,9.1835070126675,5.50518188338856
Aruba,GDP (current US$),2553793296.08939,2453597206.70391,2637859217.87709,2615208379.88827,2727849720.67039,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2558906303.88098,3103184101.51354,3544707788.05664,..
Aruba,GNI (current US$),2465043407.82123,2313385195.53073,2391841396.64804,2499117877.09497,2563517262.56983,2688102402.23464,2838143910.61453,2848406201.11732,2921801005.58659,3061447262.56983,3242394301.67598,2490732720.32184,3009247534.1812,3421948336.71287,..
Aruba,Imports of goods and services (current US$),1906100558.65922,1846245251.39665,2233917877.09497,2184788268.15642,2328027932.96089,2361241899.44134,2162351955.30726,2101055865.92179,2203529050.27933,2390329608.93855,2448675977.65363,1761437597.76536,2197997039.10615,2741287430.1676,..
Aruba,Exports of goods and services (current US$),1606810055.86592,1477511731.84358,1839933519.55307,1911810055.86592,2088122905.02793,2184551396.64804,2158564245.81006,2142859776.53631,2243516759.77654,2367134078.21229,2486899441.34078,1415761229.05028,2143360223.46369,2946524357.5419,..
Aruba,"Inflation, consumer prices (annual %)",-2.13542872046937,2.07814071860787,4.31629742195203,0.627471992893373,-2.37206524252261,0.421440918881214,0.474763597342641,-0.931195987079561,-1.02828178762012,3.62604141352961,4.25746204335428,..,..,..,..
Aruba,"Labor force, total",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,"Population, total",99212,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445,106277
Aruba,"Industry (including construction), value added (annual % growth)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,GDP (current US$),928762122698.05,1148890200292.42,1398701323029.63,1547649835732.89,1577301840200.01,1468597690006.22,1351768945139.11,1207580901578.72,1326882104817,1429733668185.91,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7,1723827215334.71
Australia,GNI (current US$),896123976215.509,1104254232212.38,1342513726715.85,1500520746327.45,1537979196311.6,1430164505121.33,1324170023071.21,1178939238648.74,1290533798811.27,1384664217282.11,1347797789886.92,1300336316181.45,1542094786878.42,1628989553712.72,1652506427600.32
Australia,Imports of goods and services (current US$),211106497147.687,237995666496.38,285356953768.401,335184302952.683,335587972476.509,313702700990.666,291119040943.282,260021342759.476,274846166783.187,307300096115.09,301767475391.733,268413428246.403,276347165282.576,333675327040.552,368221405591.676
Australia,Exports of goods and services (current US$),213717313259.647,227427026265.26,299822629830.724,332611506740.829,315052050257.969,309614630756.279,271139524648.254,232606961291.863,281677500416.683,312447679285.648,336280198453.879,318857503698.674,342626032843.509,430470188137.656,460640875499.737
Australia,"Inflation, consumer prices (annual %)",1.77111716621254,2.91834002677376,3.3038501560874,1.76278015613196,2.4498886414254,2.48792270531404,1.50836672165921,1.27699094497324,1.94864740944527,1.91140094445691,1.61076787290379,0.846905537459305,2.86391042204994,6.59409671341846,5.5970149253731
Australia,"Labor force, total",11475357,11664763,11845859,12009987,12180641,12320167,12556446,12730379,13007821,13308589,13587463,13587001,13806208,14079368,14501414
Australia,"Population, total",21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26638544
Australia,"Industry (including construction), value added (annual % growth)",0.849332372556816,3.1428866671781,1.29110015029548,6.06584672601001,3.39421888671203,4.16780052369332,1.51179813035687,0.934929466921645,-1.05299518264887,3.9343175754524,1.12311328915824,-0.477584387757616,-0.810067385846011,0.801370379020213,1.34392371643021
Austria,GDP (current US$),401758735822.211,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444596155845.254,435049316955.737,479295362747.047,470941926750.741,516034144115.95
Austria,GNI (current US$),401584639080.312,395556468123.334,433140701458.172,409815209653.594,431351356436.825,443168199835.449,378210199399.805,395807521992.608,413348647948.824,450535680731.058,443323100627.45,439547216701.013,486755828420.147,470636395218.873,514443597964.97
Austria,Imports of goods and services (current US$),168155373268.152,187341317488.667,220824764522.763,209525713468.418,217784703102.326,221810038046.113,188457898640.543,192280704252.106,212334568915.494,238694832569.741,231775666667.451,209360297800.903,263771195732.554,290110887690.137,292291962994.103
Austria,Exports of goods and services (current US$),181624745272.726,201088694407.167,232888437032.783,220969210537.828,229899623200.707,236280892259.344,202784894360.508,207444081442.658,225534464183.706,252348201943.937,247910305740.156,224419959324.063,268174561561.779,292375700457.141,306922587166.77
Austria,"Inflation, consumer prices (annual %)",0.506308827696515,1.81353438995062,3.2865791487538,2.48567562177015,2.00015616900597,1.60581182954474,0.89656333526032,0.891591752655362,2.08126911385587,1.9983798142954,1.53089564152644,1.38191063351862,2.7666666666667,8.5468699318845,7.81413417002832
Austria,"Labor force, total",4278874,4294774,4323161,4371757,4414478,4438256,4490374,4573321,4600302,4638625,4658940,4641353,4688653,4761984,4825387
Austria,"Population, total",8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9132383
Austria,"Industry (including construction), value added (annual % growth)",-11.304145583722,3.37975771635439,3.98349562221733,1.4707817129835,0.590506167047124,0.0219366723695202,-0.0093103692940133,3.03512839813969,3.38255281270405,3.22877995958217,0.470821748166287,-5.45749479687554,8.28157208095921,3.02879593917496,-1.98880427462709
Azerbaijan,GDP (current US$),44292427184.9492,52909294791.9262,65952796427.9473,69679944504.1972,74160560123.6902,75239785452.1022,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72356176470.5882
Azerbaijan,GNI (current US$),41022888018.2835,49741091452.7785,61441003132.8908,65735414850.2186,70472288892.4862,73082959455.4451,51379123217.2905,35591412539.2769,39321618331.876,44853080880.9559,46318529411.7647,42422882352.9412,53687352941.1765,73522647058.8235,69157059470.5882
Azerbaijan,Imports of goods and services (current US$),10235225178.9351,10942312484.4256,15882135431.0447,17620935664.3268,19474571755.9694,19720098374.8264,18474102154.6726,16528818929.6131,17104502499.7749,17704999420.594,17712470588.2353,15537823529.4118,16336941176.4706,21274411764.7059,25016411764.7059
Azerbaijan,Exports of goods and services (current US$),22870725058.8778,28732245203.09,37215171599.8511,36912727758.7205,35905452997.3577,32558931187.3444,20060045053.3105,17580756547.8197,19839874967.6816,25484215746.0778,23629764705.8824,15208764705.8824,25487647058.8235,47274117647.0588,35487352941.1765
Azerbaijan,"Inflation, consumer prices (annual %)",1.45704835970321,5.72687224669605,7.8583333333334,1.06621339720303,2.41571745279419,1.37344181533176,4.02768573742726,12.4433748584372,12.9359184187335,2.26854690373999,2.61057182799215,2.75980947008127,6.65029912708779,13.8522590144267,8.78543049849081
Azerbaijan,"Labor force, total",4141330,4193491,4273974,4359293,4428280,4531372,4626699,4756797,4841518,4925538,5191677,5165410,5263181,5432855,5473196
Azerbaijan,"Population, total",8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10112555
Azerbaijan,"Industry (including construction), value added (annual % growth)",10.4056919262452,3.81742856162421,-5.57475453952756,-0.938011847579077,4.51771296772722,0.150863778893751,-1.92824377110729,-4.14243969754455,-3.54648249978995,-0.663005845945094,0.877181119423454,-5.98172692004269,2.1121309142257,0.512155710261624,1.34084486162858
"Bahamas, The",GDP (current US$),9981960000,10095760000,10070450000,10720500000,10395800000,10974100000,11671900000,11745100000,12236700000,12615800000,13016200000,9958200000,11368900000,13136400000,14338500000
"Bahamas, The",GNI (current US$),9829760000,9860860000,9834450000,10441220000,10098220000,10537850000,11177080000,11189150000,11691200000,11780700000,12394020000,9425580000,10862560000,12467590000,13626662342.5965
"Bahamas, The",Imports of goods and services (current US$),4225400000,4414100000,5125700000,4944700000,4840300000,5140100000,4333700000,4407200000,4912800000,5092300000,4813800000,3354900000,4940300000,5746800000,6159600000
"Bahamas, The",Exports of goods and services (current US$),3412900000,3528800000,3769900000,4087400000,4175300000,4162300000,4241300000,3901400000,3950200000,4521500000,4629100000,2413900000,3353500000,5179300000,5699000000
"Bahamas, The","Inflation, consumer prices (annual %)",2.06273473452682,1.34402738392836,3.1987814166032,1.97336755976254,0.722414784530551,1.51375643050831,1.86148302863371,-0.346376929989397,1.51820700736147,2.26586346678736,2.49123527368046,0.0385210980054558,2.90491262928478,5.60540633583044,3.05291578969743
"Bahamas, The","Labor force, total",200213,203958,207993,211907,215010,218498,221828,225308,228906,232371,235402,221416,230610,238456,242250
"Bahamas, The","Population, total",368057,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984,412623
"Bahamas, The","Industry (including construction), value added (annual % growth)",-7.53144089112469,15.0384705059454,4.83042832049722,9.13191982986402,-6.52533364828156,10.1522521953377,-10.4897912365221,18.337925289934,-8.11088851589149,-7.42442990984621,0.757431099229834,-23.6070751737208,-12.7594476143223,-11.7251184834123,10.3403844088908
Bahrain,GDP (current US$),22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31125851063.8298,32250132978.7234,35423643617.0213,37802005319.1489,38653318085.1064,34621807712.766,39288670212.766,44383297872.3404,43205000000
Bahrain,GNI (current US$),20538353191.4894,23340257978.7234,25012234042.5532,29741912500,31343603989.3617,31755112765.9574,29314738297.8723,30439494680.8511,33484122340.4255,35726063829.7872,36392679787.234,32162765159.5745,36760670212.766,42420297872.3404,40659787234.0426
Bahrain,Imports of goods and services (current US$),11353989361.7021,13097074468.0851,21506648936.1702,25749202127.6596,28331382978.7234,26548936170.2128,22301861702.1277,21088031914.8936,23876329787.234,27048670212.766,25207712765.9574,23296808510.6383,27577393617.0213,..,..
Bahrain,Exports of goods and services (current US$),15704787234.0426,17880319148.9362,28609308510.6383,31409042553.1915,34102925531.9149,32069148936.1702,25805319148.9362,23918617021.2766,26881914893.617,29959042553.1915,29564361702.1277,25249202127.6596,35234574468.0851,..,..
Bahrain,"Inflation, consumer prices (annual %)",2.79551283550412,1.96188468334623,-0.40004069748808,2.75739669962979,3.30001156888442,2.64755321246189,1.84862742374977,2.78679347602044,1.38671830576406,2.08766938046978,1.00582004702137,-2.31770629331379,-0.60631938514085,3.62574104304482,0.0746206782192256
Bahrain,"Labor force, total",664657,692760,685093,699050,722754,742612,768564,801959,837075,860599,864408,840235,833682,844182,855301
Bahrain,"Population, total",1179453,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233,1485509
Bahrain,"Industry (including construction), value added (annual % growth)",0.0751369659740249,2.34397249086204,1.45204168928055,-1.75314518871133,8.89791793565536,4.77180225475178,2.16439536261662,2.76995918496614,0.625577812018491,0.218712675711274,2.26459348988388,-0.948396730916059,0.487642874161992,1.2107678682668,-1.09506173109578
Bangladesh,GDP (current US$),102475158462.511,115275540861.36,128607482927.468,133310747047.528,149998957327.029,172886611131.255,195146607942.291,265224514652.992,293732447017.328,321362751137.574,351231655150.827,373979442653.343,416271647002.435,460131688909.301,437415331040.994
Bangladesh,GNI (current US$),110599840698.057,124613273819.067,138790367232.112,144592845953.488,162063337092.967,184408667586.924,207815025528.633,277650510779.566,303873963379.664,334213982836.221,365618637911.704,389459167965.435,438182166819.553,478360553569.206,454873454272.724
Bangladesh,Imports of goods and services (current US$),23725728422.8072,25105548783.1059,35365482209.3108,37259465796.8803,40137513915.4611,44128305097.7916,48297463387.433,46183400595.4048,50463186759.561,63757867791.9991,64919190527.2417,59195931884.2796,71021045649.9921,96157127851.08,77972815220.7747
Bangladesh,Exports of goods and services (current US$),17359428038.7872,18471882566.6648,25621279147.1841,26877564731.3329,29306607448.6873,32830579630.7217,33831930824.4698,36922447019.7655,37655756243.1882,40732047238.7819,45992932926.7723,39053880590.2555,44386125344.9789,59275206064.019,57551451740.6239
Bangladesh,"Inflation, consumer prices (annual %)",5.42347236174679,8.12667639169917,11.3951651552399,6.21750422069284,7.53040640913172,6.99163889220849,6.19428022984984,5.51352572692995,5.70207015717239,5.54362139486476,5.59199639930629,5.69107474746211,5.54565430773473,7.69695437176898,9.8835030377921
Bangladesh,"Labor force, total",55755782,56625232,57602724,58662413,59781774,60904130,62009866,63166277,67164738,68748318,70248864,70941233,73234222,73862460,74913612
Bangladesh,"Population, total",146706810,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372,172954319
