Gross_National_Income,Industry_growth_rate,Inflation_rate,Population,GDP_Per_Capita,Trade_Rate
9718566996.0,7.0,8.0,2946293.0,3143.0,0.0
10502185417.0,2.0,8.0,2928976.0,3463.0,0.0
11042356845.0,5.0,3.0,2914421.0,3644.0,1.0
11804011412.0,1.0,6.0,2901385.0,3833.0,1.0
12131729270.0,-2.0,3.0,2889930.0,4017.0,1.0
10981745036.0,3.0,4.0,2878595.0,3666.0,1.0
10791195837.0,-0.0,-1.0,2865835.0,3680.0,1.0
11933013893.0,9.0,1.0,2851923.0,4042.0,1.0
12658281184.0,4.0,3.0,2836557.0,4392.0,1.0
13798994782.0,11.0,1.0,2820602.0,4828.0,1.0
12445454608.0,-3.0,1.0,2805608.0,4506.0,1.0
13472550881.0,3.0,7.0,2790974.0,4973.0,1.0
18664848320.0,9.0,9.0,2780469.0,7018.0,1.0
23567103133.0,6.0,2.0,2777970.0,8716.0,1.0
2465043408.0,5.0,-2.0,99212.0,25741.0,1.0
2313385196.0,5.0,2.0,100341.0,24453.0,1.0
2391841397.0,5.0,4.0,101288.0,26043.0,1.0
2499117877.0,4.0,1.0,102112.0,25611.0,1.0
2563517263.0,4.0,-2.0,102880.0,26515.0,1.0
2688102402.0,4.0,0.0,103594.0,26940.0,1.0
2838143911.0,3.0,0.0,104257.0,28419.0,1.0
2848406201.0,3.0,-1.0,104874.0,28450.0,1.0
2921801006.0,3.0,-1.0,105439.0,29329.0,1.0
3061447263.0,3.0,4.0,105962.0,30918.0,1.0
3242394302.0,2.0,4.0,106442.0,31903.0,1.0
2490732720.0,2.0,4.0,106585.0,24008.0,1.0
3009247534.0,2.0,3.0,106537.0,29128.0,1.0
3421948337.0,1.0,3.0,106445.0,33301.0,1.0
449772962276.0,1.0,2.0,106277.0,38059.0,1.0
896123976216.0,1.0,2.0,21691653.0,42817.0,1.0
1104254232212.0,3.0,3.0,22031750.0,52147.0,1.0
1342513726716.0,1.0,3.0,22340024.0,62610.0,1.0
1500520746327.0,6.0,2.0,22733465.0,68078.0,1.0
1537979196312.0,3.0,2.0,23128129.0,68198.0,1.0
1430164505121.0,4.0,2.0,23475686.0,62558.0,1.0
1324170023071.0,2.0,2.0,23815995.0,56759.0,1.0
1178939238649.0,1.0,1.0,24190907.0,49919.0,1.0
1290533798811.0,-1.0,2.0,24592588.0,53955.0,1.0
1384664217282.0,4.0,2.0,24963258.0,57274.0,1.0
1347797789887.0,1.0,2.0,25334826.0,55050.0,1.0
1300336316181.0,-0.0,1.0,25649248.0,51868.0,1.0
1542094786878.0,-1.0,3.0,25685412.0,60697.0,1.0
1628989553713.0,1.0,7.0,26014399.0,65078.0,1.0
1652506427600.0,1.0,6.0,26638544.0,64712.0,1.0
401584639080.0,-11.0,1.0,8343323.0,48153.0,1.0
395556468123.0,3.0,2.0,8363404.0,46904.0,1.0
433140701458.0,4.0,3.0,8391643.0,51442.0,1.0
409815209654.0,1.0,2.0,8429991.0,48565.0,1.0
431351356437.0,1.0,2.0,8479823.0,50731.0,1.0
443168199835.0,0.0,2.0,8546356.0,51786.0,1.0
378210199400.0,-0.0,1.0,8642699.0,44196.0,1.0
395807521993.0,3.0,1.0,8736668.0,45308.0,1.0
413348647949.0,3.0,2.0,8797566.0,47429.0,1.0
450535680731.0,3.0,2.0,8840521.0,51467.0,1.0
443323100627.0,0.0,2.0,8879920.0,50068.0,1.0
439547216701.0,-5.0,1.0,8916864.0,48790.0,1.0
486755828420.0,8.0,3.0,8955797.0,53518.0,1.0
470636395219.0,3.0,9.0,9041851.0,52085.0,1.0
514443597965.0,-2.0,8.0,9132383.0,56506.0,1.0
41022888018.0,10.0,1.0,8947243.0,4950.0,2.0
49741091453.0,4.0,6.0,9054332.0,5844.0,3.0
61441003133.0,-6.0,8.0,9173082.0,7190.0,2.0
65735414850.0,-1.0,1.0,9295784.0,7496.0,2.0
70472288892.0,5.0,2.0,9416801.0,7875.0,2.0
73082959455.0,0.0,1.0,9535079.0,7891.0,2.0
51379123217.0,-2.0,4.0,9649341.0,5500.0,1.0
35591412539.0,-4.0,12.0,9757812.0,3881.0,1.0
39321618332.0,-4.0,13.0,9854033.0,4147.0,1.0
44853080881.0,-1.0,2.0,9939771.0,4740.0,1.0
46318529412.0,1.0,3.0,10024283.0,4806.0,1.0
42422882353.0,-6.0,3.0,10093121.0,4230.0,1.0
53687352941.0,2.0,7.0,10137750.0,5408.0,2.0
73522647059.0,1.0,14.0,10141756.0,7771.0,2.0
69157059471.0,1.0,9.0,10112555.0,7155.0,1.0
9829760000.0,-8.0,2.0,368057.0,27121.0,1.0
9860860000.0,15.0,1.0,373272.0,27047.0,1.0
9834450000.0,5.0,3.0,377950.0,26645.0,1.0
10441220000.0,9.0,2.0,382061.0,28060.0,1.0
10098220000.0,-7.0,1.0,385650.0,26957.0,1.0
10537850000.0,10.0,2.0,389131.0,28202.0,1.0
11177080000.0,-10.0,2.0,392697.0,29722.0,1.0
11189150000.0,18.0,-0.0,395976.0,29661.0,1.0
11691200000.0,-8.0,2.0,399020.0,30667.0,1.0
11780700000.0,-7.0,2.0,401906.0,31390.0,1.0
12394020000.0,1.0,2.0,404557.0,32174.0,1.0
9425580000.0,-24.0,0.0,406471.0,24499.0,1.0
10862560000.0,-13.0,3.0,407906.0,27871.0,1.0
12467590000.0,-12.0,6.0,409984.0,32041.0,1.0
13626662343.0,10.0,3.0,412623.0,34750.0,1.0
20538353191.0,0.0,3.0,1179453.0,19448.0,1.0
23340257979.0,2.0,2.0,1213645.0,21187.0,1.0
25012234043.0,1.0,-0.0,1212077.0,23742.0,1.0
29741912500.0,-2.0,3.0,1224939.0,25103.0,1.0
31343603989.0,9.0,3.0,1261673.0,25791.0,1.0
31755112766.0,5.0,3.0,1311134.0,25465.0,1.0
29314738298.0,2.0,2.0,1362142.0,22851.0,1.0
30439494681.0,3.0,3.0,1409661.0,22878.0,1.0
33484122340.0,1.0,1.0,1456834.0,24316.0,1.0
35726063830.0,0.0,2.0,1487340.0,25416.0,1.0
36392679787.0,2.0,1.0,1494188.0,25869.0,1.0
32162765160.0,-1.0,-2.0,1477469.0,23433.0,1.0
36760670213.0,0.0,-1.0,1463265.0,26850.0,1.0
42420297872.0,1.0,4.0,1472233.0,30147.0,1.0
40659787234.0,-1.0,0.0,1485509.0,29084.0,1.0
110599840698.0,7.0,5.0,146706810.0,698.0,1.0
124613273819.0,7.0,8.0,148391139.0,777.0,1.0
138790367232.0,9.0,11.0,150211005.0,856.0,1.0
144592845953.0,9.0,6.0,152090649.0,877.0,1.0
162063337093.0,10.0,8.0,154030139.0,974.0,1.0
184408667587.0,8.0,7.0,155961299.0,1109.0,1.0
207815025529.0,10.0,6.0,157830000.0,1236.0,1.0
277650510780.0,11.0,6.0,159784568.0,1660.0,1.0
303873963380.0,8.0,6.0,161793964.0,1815.0,1.0
334213982836.0,10.0,6.0,163683958.0,1963.0,1.0
365618637912.0,12.0,6.0,165516222.0,2122.0,1.0
389459167965.0,4.0,6.0,167420951.0,2234.0,1.0
438182166820.0,10.0,6.0,169356251.0,2458.0,1.0
478360553569.0,10.0,8.0,171186372.0,2688.0,1.0
454873454273.0,8.0,10.0,172954319.0,2529.0,1.0
4276757950.0,-15.0,4.0,273791.0,16315.0,1.0
4422823100.0,-10.0,6.0,274711.0,16507.0,1.0
4362197100.0,-1.0,9.0,275486.0,16924.0,1.0
4450284200.0,-1.0,5.0,276197.0,16737.0,1.0
4498853250.0,-1.0,2.0,276865.0,16952.0,1.0
4514397300.0,-0.0,2.0,277493.0,16980.0,1.0
4525708100.0,2.0,-1.0,278083.0,17040.0,1.0
4626774500.0,-2.0,1.0,278649.0,17399.0,1.0
4776711000.0,1.0,5.0,279187.0,17911.0,1.0
4888345200.0,-3.0,4.0,279688.0,18336.0,1.0
5100139250.0,-0.0,4.0,280180.0,19156.0,1.0
4712756550.0,-1.0,6.0,280693.0,17028.0,1.0
4849276000.0,-6.0,7.0,281200.0,17586.0,1.0
5674673700.0,6.0,8.0,281635.0,20738.0,1.0
6126564190.0,4.0,10.0,281995.0,22673.0,1.0
49759479064.0,0.0,13.0,9504583.0,5352.0,1.0
56069265841.0,12.0,8.0,9483836.0,6035.0,1.0
61079871267.0,7.0,53.0,9461643.0,6528.0,1.0
64215516439.0,2.0,59.0,9446836.0,6953.0,1.0
72875339441.0,-2.0,18.0,9443211.0,7998.0,1.0
76448782778.0,2.0,18.0,9448515.0,8341.0,1.0
54061945286.0,-7.0,14.0,9461076.0,5967.0,1.0
45473302429.0,-5.0,12.0,9469379.0,5040.0,1.0
52669765497.0,4.0,6.0,9458989.0,5786.0,1.0
57861187726.0,-4.0,5.0,9438785.0,6360.0,1.0
62499831005.0,1.0,6.0,9419758.0,6838.0,1.0
58875118002.0,-0.0,6.0,9379952.0,6543.0,1.0
67115938432.0,3.0,9.0,9302585.0,7490.0,1.0
70849979925.0,-6.0,15.0,9228071.0,7995.0,1.0
69257282746.0,8.0,5.0,9178298.0,7829.0,1.0
492240893720.0,-5.0,-0.0,10796493.0,44760.0,1.0
488810029890.0,5.0,2.0,10895586.0,44185.0,1.0
524167615223.0,1.0,4.0,11038264.0,47411.0,1.0
507665999692.0,-2.0,3.0,11106932.0,44671.0,1.0
534645338501.0,-0.0,1.0,11159407.0,46758.0,1.0
546624135613.0,3.0,0.0,11209057.0,47764.0,1.0
468878816163.0,3.0,1.0,11274196.0,41008.0,1.0
480629064768.0,-1.0,2.0,11331422.0,42013.0,1.0
507373706788.0,1.0,2.0,11375158.0,44198.0,1.0
548107677572.0,0.0,2.0,11427054.0,47545.0,1.0
541049419120.0,4.0,1.0,11488980.0,46642.0,1.0
531671614966.0,-4.0,1.0,11538604.0,45588.0,1.0
607143534636.0,4.0,2.0,11586195.0,51864.0,1.0
592448849483.0,-0.0,10.0,11685814.0,49942.0,1.0
646019915336.0,-2.0,4.0,11822592.0,53475.0,1.0
1590828548.0,6.0,-1.0,314171.0,5352.0,1.0
1600571045.0,-11.0,1.0,322106.0,5399.0,1.0
1721646638.0,-2.0,2.0,329538.0,5519.0,1.0
1779340200.0,-10.0,1.0,337059.0,5636.0,1.0
1902521884.0,4.0,1.0,344688.0,5865.0,1.0
1987326306.0,7.0,1.0,352335.0,6032.0,1.0
2099243409.0,-2.0,-1.0,359871.0,6099.0,1.0
2129785693.0,8.0,1.0,367313.0,6100.0,1.0
2141415667.0,-7.0,1.0,374693.0,6049.0,1.0
2136543786.0,0.0,0.0,382066.0,6001.0,1.0
2223288626.0,5.0,0.0,389095.0,6134.0,1.0
1989091710.0,-3.0,0.0,394921.0,5185.0,1.0
2346645179.0,19.0,3.0,400031.0,6061.0,1.0
2698024126.0,-2.0,6.0,405272.0,6984.0,1.0
3170374615.0,-5.0,4.0,410825.0,7988.0,1.0
9705498263.0,2.0,1.0,9172514.0,1062.0,1.0
9481809633.0,3.0,2.0,9445710.0,1009.0,1.0
10677799706.0,0.0,3.0,9726380.0,1099.0,1.0
11074623463.0,4.0,7.0,10014078.0,1113.0,1.0
12448828489.0,6.0,0.0,10308730.0,1214.0,1.0
13223293313.0,4.0,-1.0,10614844.0,1252.0,1.0
11295642530.0,14.0,0.0,10932783.0,1042.0,1.0
11718306955.0,1.0,-1.0,11260085.0,1050.0,1.0
12561417739.0,0.0,0.0,11596779.0,1095.0,1.0
14105968068.0,5.0,1.0,11940683.0,1194.0,1.0
14247234068.0,14.0,1.0,12290444.0,1171.0,1.0
15523668018.0,5.0,3.0,12643123.0,1241.0,1.0
17597426578.0,9.0,2.0,12996895.0,1361.0,1.0
17277505052.0,8.0,1.0,13352864.0,1305.0,1.0
19549820770.0,7.0,3.0,13712828.0,1435.0,1.0
13165260385.0,0.0,3.0,65636.0,101408.0,1.0
6780700000.0,-7.0,3.0,65124.0,101875.0,2.0
6474269000.0,-14.0,3.0,64564.0,97774.0,2.0
6661617000.0,-9.0,3.0,64798.0,98432.0,2.0
6764352000.0,-4.0,3.0,65001.0,99472.0,2.0
6657829000.0,-4.0,3.0,65138.0,98468.0,2.0
6893729000.0,-1.0,3.0,65237.0,102006.0,2.0
7095783000.0,1.0,4.0,64554.0,106886.0,2.0
7435279000.0,4.0,4.0,63873.0,111821.0,2.0
7460410000.0,8.0,4.0,63918.0,113051.0,2.0
7524540000.0,16.0,4.0,63911.0,116153.0,2.0
7090229000.0,-17.0,4.0,63893.0,107792.0,2.0
7597926000.0,0.0,4.0,63764.0,114275.0,2.0
8251538000.0,6.0,4.0,63595.0,123091.0,2.0
4766153942.0,5.0,4.0,63489.0,62500.0,1.0
1280769885.0,4.0,4.0,697678.0,1908.0,1.0
1585490423.0,13.0,7.0,705516.0,2372.0,1.0
1824535647.0,5.0,9.0,713331.0,2717.0,1.0
1797614041.0,7.0,11.0,721145.0,2690.0,1.0
1789728221.0,4.0,9.0,728889.0,2625.0,1.0
1922340685.0,4.0,8.0,736357.0,2794.0,1.0
2012145411.0,9.0,5.0,743274.0,2899.0,1.0
2137243968.0,7.0,3.0,749761.0,3098.0,1.0
2378534602.0,3.0,5.0,756121.0,3427.0,1.0
2363147138.0,-4.0,3.0,762096.0,3390.0,1.0
2506135795.0,-1.0,3.0,767459.0,3565.0,1.0
2314749743.0,-14.0,6.0,772506.0,3181.0,1.0
2612193375.0,4.0,7.0,777486.0,3561.0,1.0
2747666951.0,6.0,6.0,782455.0,3704.0,0.0
9706925512.0,4.0,4.0,787424.0,2715.0,1.0
16666184074.0,3.0,3.0,10051317.0,1725.0,1.0
18760785456.0,4.0,3.0,10223270.0,1922.0,1.0
22977403394.0,5.0,10.0,10396246.0,2305.0,1.0
25455219537.0,5.0,5.0,10569697.0,2562.0,1.0
28751567786.0,8.0,6.0,10743349.0,2854.0,1.0
31298228307.0,5.0,6.0,10916987.0,3022.0,1.0
31873100507.0,3.0,4.0,11090085.0,2976.0,1.0
33320230246.0,4.0,4.0,11263015.0,3014.0,1.0
36398995789.0,2.0,3.0,11435533.0,3280.0,1.0
39311992851.0,2.0,2.0,11606905.0,3471.0,1.0
40059428640.0,0.0,2.0,11777315.0,3472.0,1.0
36212843806.0,-12.0,1.0,11936162.0,3069.0,1.0
39377111693.0,10.0,1.0,12079472.0,3345.0,1.0
42734282880.0,1.0,2.0,12224110.0,3600.0,1.0
44844197819.0,1.0,3.0,12388571.0,3701.0,1.0
18292268365.0,-5.0,-0.0,3877750.0,4542.0,1.0
17455986159.0,2.0,2.0,3811088.0,4507.0,1.0
18794204716.0,-0.0,4.0,3743142.0,4981.0,1.0
17361422537.0,-3.0,2.0,3674374.0,4688.0,1.0
18421211486.0,4.0,3.0,3617559.0,5025.0,1.0
18710534545.0,2.0,3.0,3571068.0,5197.0,1.0
16514883084.0,1.0,4.0,3524324.0,4655.0,1.0
17139875881.0,5.0,4.0,3480986.0,4917.0,1.0
18174627641.0,5.0,5.0,3440027.0,5327.0,1.0
20366478393.0,4.0,5.0,3400129.0,6024.0,1.0
20448097003.0,-1.0,6.0,3360711.0,6095.0,1.0
20112988928.0,-2.0,6.0,3318407.0,6095.0,1.0
23371644757.0,9.0,7.0,3270943.0,7237.0,1.0
24250845360.0,2.0,7.0,3233526.0,7588.0,1.0
26985980899.0,-3.0,8.0,3210847.0,8426.0,1.0
10029057942.0,-32.0,8.0,2048997.0,4938.0,1.0
12147261072.0,17.0,7.0,2091664.0,6042.0,1.0
15016050301.0,9.0,8.0,2134037.0,7081.0,1.0
14164563194.0,-4.0,8.0,2175425.0,6393.0,1.0
13621161025.0,15.0,6.0,2217278.0,6437.0,1.0
14998439776.0,6.0,4.0,2260376.0,6844.0,1.0
13076842711.0,-11.0,3.0,2305171.0,5870.0,1.0
13792127268.0,3.0,3.0,2352416.0,6412.0,1.0
14738582295.0,5.0,3.0,2401840.0,6705.0,1.0
15447818705.0,5.0,3.0,2451409.0,6948.0,1.0
15849851165.0,-1.0,3.0,2499702.0,6691.0,1.0
14973976719.0,-21.0,2.0,2546402.0,5875.0,1.0
18570736137.0,19.0,7.0,2588423.0,7244.0,1.0
19736738932.0,8.0,12.0,2630296.0,7726.0,1.0
19153360990.0,2.0,5.0,2675352.0,7250.0,1.0
1630110011813.0,-5.0,5.0,194517549.0,8570.0,1.0
2140606260704.0,10.0,5.0,196353492.0,11249.0,1.0
2548928943604.0,4.0,7.0,198185302.0,13201.0,1.0
2403719409196.0,-1.0,5.0,199977707.0,12328.0,1.0
2438459283731.0,2.0,6.0,201721767.0,12259.0,1.0
2410276964681.0,-2.0,6.0,203459650.0,12071.0,1.0
1768300112267.0,-6.0,9.0,205188205.0,8783.0,1.0
1757597118247.0,-5.0,9.0,206859578.0,8681.0,1.0
2024937440939.0,-1.0,3.0,208504960.0,9897.0,1.0
1863630987992.0,1.0,4.0,210166592.0,9121.0,1.0
1822994396029.0,-1.0,4.0,211782878.0,8845.0,1.0
1445311140486.0,-3.0,3.0,213196304.0,6924.0,1.0
1618525125681.0,5.0,8.0,214326223.0,7795.0,1.0
1895345889306.0,2.0,9.0,215313498.0,9066.0,1.0
2110557039833.0,2.0,5.0,216422446.0,10044.0,1.0
1979321268353.0,1.0,4.0,27044.0,11134.0,1.0
1848085496873.0,1.0,4.0,27556.0,12225.0,1.0
1716849725393.0,0.0,4.0,27962.0,13316.0,1.0
1585613953913.0,-0.0,4.0,28421.0,14407.0,1.0
1454378182433.0,-0.0,3.0,28657.0,15498.0,1.0
1323142410953.0,-1.0,3.0,28971.0,16589.0,1.0
1191906639473.0,-1.0,3.0,29366.0,17680.0,2.0
1060670867993.0,-2.0,3.0,29739.0,18771.0,2.0
929435096513.0,-2.0,3.0,30060.0,19861.0,2.0
798199325034.0,-3.0,2.0,30335.0,20952.0,2.0
666963553554.0,-3.0,2.0,30610.0,22043.0,2.0
535727782074.0,-3.0,2.0,30910.0,23134.0,2.0
404492010594.0,-4.0,2.0,31122.0,24225.0,2.0
273256239114.0,-4.0,1.0,31305.0,25316.0,2.0
142020467634.0,-5.0,1.0,31538.0,26407.0,2.0
10784696154.0,-5.0,1.0,390311.0,27498.0,2.0
13606804209.0,2.0,0.0,396053.0,34610.0,2.0
18026683880.0,3.0,0.0,401506.0,46139.0,2.0
18591240006.0,-1.0,0.0,406634.0,46844.0,2.0
17893708748.0,-6.0,0.0,411702.0,43950.0,2.0
17082333628.0,-4.0,-0.0,416656.0,41036.0,2.0
13580879053.0,-0.0,-0.0,421437.0,30681.0,1.0
12235540382.0,-3.0,-0.0,425994.0,26762.0,1.0
12848604271.0,2.0,-1.0,430276.0,28187.0,1.0
13650782590.0,-0.0,1.0,434274.0,31240.0,1.0
13830321085.0,4.0,-0.0,438048.0,30748.0,1.0
12367589257.0,3.0,2.0,441725.0,27179.0,1.0
14096146247.0,-4.0,2.0,445373.0,31449.0,1.0
16311905529.0,-5.0,4.0,449002.0,37152.0,1.0
15322318849.0,-1.0,0.0,452524.0,33431.0,1.0
50357535978.0,-3.0,3.0,7444443.0,6988.0,1.0
49698376601.0,-7.0,2.0,7395599.0,6864.0,1.0
55929518184.0,2.0,4.0,7348328.0,7857.0,1.0
53568146883.0,4.0,3.0,7305888.0,7431.0,1.0
54615902085.0,-3.0,1.0,7265115.0,7688.0,1.0
56667245619.0,1.0,-1.0,7223938.0,7912.0,1.0
49246152144.0,4.0,-0.0,7177991.0,7079.0,1.0
52309213877.0,4.0,-1.0,7127822.0,7571.0,1.0
58007241957.0,1.0,2.0,7075947.0,8382.0,1.0
64219204758.0,0.0,3.0,7025037.0,9448.0,1.0
66934503463.0,-0.0,3.0,6975761.0,9874.0,1.0
67958245051.0,-8.0,2.0,6934015.0,10148.0,1.0
80703079761.0,1.0,3.0,6877743.0,12219.0,1.0
87391116238.0,12.0,15.0,6465097.0,13974.0,1.0
98154828123.0,1.0,9.0,6430370.0,15798.0,1.0
9333203850.0,11.0,3.0,15650022.0,604.0,1.0
9807542782.0,12.0,-1.0,16116845.0,627.0,1.0
11592644775.0,13.0,3.0,16602651.0,728.0,1.0
12243495088.0,-2.0,4.0,17113732.0,734.0,1.0
13080707616.0,5.0,1.0,17636408.0,762.0,1.0
13337500893.0,10.0,-0.0,18169842.0,767.0,1.0
11293125665.0,7.0,1.0,18718019.0,632.0,1.0
12261728232.0,5.0,0.0,19275498.0,666.0,1.0
13577334630.0,6.0,1.0,19835858.0,711.0,1.0
15387936815.0,9.0,2.0,20392723.0,779.0,1.0
15326465625.0,10.0,-3.0,20951639.0,765.0,1.0
17105876297.0,11.0,2.0,21522626.0,824.0,1.0
18719329997.0,7.0,4.0,22100683.0,889.0,1.0
18029664977.0,-8.0,14.0,22673762.0,830.0,1.0
19484760471.0,2.0,1.0,23251485.0,874.0,1.0
1764475743.0,9.0,11.0,8709366.0,205.0,0.0
2021267251.0,1.0,6.0,9126605.0,223.0,0.0
2218331581.0,2.0,10.0,9455733.0,236.0,0.0
2326835710.0,5.0,18.0,9795479.0,238.0,0.0
2453391158.0,2.0,8.0,10149577.0,242.0,0.0
2698322226.0,6.0,4.0,10494913.0,258.0,0.0
3104359892.0,-16.0,6.0,10727148.0,289.0,0.0
